GEOID,NAME,year_,AreaBurned
48453,Travis,2011,0.0016386212619703443
48455,Trinity,2011,0.008397551554628506
48457,Tyler,2011,0.0006545939248830098
48459,Upshur,2011,0.0013656247013657792
48461,Upton,2011,7.779734411716639e-05
48465,Val Verde,2011,0.048404254160560246
48467,Van Zandt,2011,0.00022624022085187878
48471,Walker,2011,0.00220179314909573
48473,Waller,2011,0.004131194024505596
48475,Ward,2010,0.0011660198360041955
48483,Wheeler,2006,0.04253040487272201
48483,Wheeler,2011,0.00026785006495453825
48483,Wheeler,2018,0.005162879861907097
48485,Wichita,2011,0.0059541590697302065
48487,Wilbarger,2011,0.0018957849212684623
48491,Williamson,2011,2.265154630866371e-05
48495,Winkler,2011,0.0010168248463272287
48497,Wise,2011,0.00030471823034431404
48497,Wise,2016,2.2529234440574332e-05
48499,Wood,2011,7.079587390872463e-05
48501,Yoakum,2006,6.992038249841419e-05
48501,Yoakum,2011,0.0005071274592596087
48503,Young,2009,0.001483143477103352
48503,Young,2011,0.0028611894579135696
49001,Beaver,2001,9.542608464544545e-06
49001,Beaver,2002,0.00032844469816077843
49001,Beaver,2003,0.0012282275515367207
49001,Beaver,2004,0.0005856746394035723
49001,Beaver,2005,0.0010704836220717636
49001,Beaver,2006,0.0018442791360199291
49001,Beaver,2007,0.052894423089500014
49001,Beaver,2009,8.195178469423182e-05
49001,Beaver,2010,0.007281022527089759
49001,Beaver,2011,0.0018244158093382683
49001,Beaver,2012,0.0018000500960433285
49001,Beaver,2013,0.0005273416256410638
49001,Beaver,2016,0.001395311823135426
49001,Beaver,2018,0.0004569846031022085
49001,Beaver,2019,0.0024306065705933548
49003,Box Elder,2000,0.003998616666823858
49003,Box Elder,2001,0.01718804986268822
49003,Box Elder,2002,0.0004932316303228803
49003,Box Elder,2003,6.792589396205408e-05
49003,Box Elder,2005,0.008071147376090092
49003,Box Elder,2006,0.0208695924626081
49003,Box Elder,2007,0.027274183100117373
49003,Box Elder,2008,0.0016134236409596663
49003,Box Elder,2009,0.0006970304888091708
49003,Box Elder,2010,7.828660734384078e-05
49003,Box Elder,2011,0.002642933459523664
49003,Box Elder,2012,0.0033963930550063126
49003,Box Elder,2013,0.0057286198587537425
49003,Box Elder,2016,0.011906166312769084
49003,Box Elder,2017,0.01358133022807815
49003,Box Elder,2018,0.031141692135189802
49003,Box Elder,2019,0.00922073092760729
49005,Cache,2006,7.667443768673369e-05
49005,Cache,2007,0.00016252947848320056
49005,Cache,2012,4.823084324044404e-05
49005,Cache,2013,0.0013790646936892022
49005,Cache,2016,0.0002978812951228036
49005,Cache,2018,3.427328066635249e-05
49005,Cache,2019,3.404402306934158e-06
49007,Carbon,2000,1.302037749901638e-05
49007,Carbon,2001,0.00048575369862809115
49007,Carbon,2002,0.0015190738071328281
49007,Carbon,2003,0.00013172134237240406
49007,Carbon,2005,1.526397228317739e-05
49007,Carbon,2006,1.1927484911339943e-05
49007,Carbon,2007,0.0016011315814206597
49007,Carbon,2009,0.00024394692610686498
49007,Carbon,2012,0.009343487157095128
49007,Carbon,2013,7.653856048648503e-05
49007,Carbon,2016,1.2339397815418158e-05
49007,Carbon,2017,1.8954899408897513e-05
49007,Carbon,2018,2.247587280641353e-05
49009,Daggett,2000,4.06893931858314e-05
49009,Daggett,2002,0.009362293234599894
49009,Daggett,2004,0.00017303848241257823
49009,Daggett,2005,0.0016850557108068001
49009,Daggett,2006,0.000485929475104411
49009,Daggett,2007,6.907602918003645e-05
49009,Daggett,2008,0.00010744847781133967
49009,Daggett,2018,0.001123817239099907
49011,Davis,2003,0.0003455925161117779
49011,Davis,2006,0.00011762978542624673
49011,Davis,2007,0.0003301068401205387
49011,Davis,2010,2.3807266017381782e-05
49011,Davis,2016,0.0065312402295289495
49011,Davis,2017,3.2377877459265714e-05
49011,Davis,2019,0.00034942278996405793
49013,Duchesne,2000,2.3821363296313146e-05
49013,Duchesne,2002,0.0011636008410454582
49013,Duchesne,2003,0.00017312519860151386
49013,Duchesne,2005,1.2459532183430346e-07
49013,Duchesne,2007,0.01319735156328845
49013,Duchesne,2008,0.00016187873965231144
49013,Duchesne,2009,0.00011479005077314775
49013,Duchesne,2011,7.630075884801103e-07
49013,Duchesne,2012,0.0031024042525934874
49013,Duchesne,2014,0.00020478273882111183
49013,Duchesne,2016,3.2981425951270425e-05
49013,Duchesne,2018,0.014160566287676264
49013,Duchesne,2019,4.8395768302091916e-05
49015,Emery,2000,1.4089596387057816e-05
49015,Emery,2002,0.0006376394411809739
49015,Emery,2003,0.00016787827545860736
49015,Emery,2004,0.0016802078416941302
49015,Emery,2006,0.00029193824162975423
49015,Emery,2007,9.568943787385612e-05
49015,Emery,2009,0.0006583658456390111
49015,Emery,2010,3.1393710975694756e-05
49015,Emery,2012,0.011249979985173426
49015,Emery,2013,2.9900773679976565e-05
49015,Emery,2015,4.537789327506678e-05
49015,Emery,2016,0.0008833209115672972
49015,Emery,2018,0.007756237850386135
49017,Garfield,2002,0.025199521348307146
49017,Garfield,2003,0.014995583678115623
49017,Garfield,2005,2.2363533879945826e-05
49017,Garfield,2006,0.00023736990046814604
49017,Garfield,2007,0.0009976846953247782
49017,Garfield,2008,0.0010045725329781952
49017,Garfield,2009,0.003592184292551453
49017,Garfield,2010,0.00030316409353128805
49017,Garfield,2011,1.2098984383904465e-06
49017,Garfield,2012,0.0005642012452975453
49017,Garfield,2013,0.0001014851009370052
49017,Garfield,2014,3.0102188150401987e-05
49017,Garfield,2015,2.5734098925050207e-05
49017,Garfield,2016,0.000314908138381638
49017,Garfield,2017,0.007453756513392519
49017,Garfield,2019,0.00112557047835419
49019,Grand,2000,0.0003397859903876362
49019,Grand,2002,0.039900018503689294
49019,Grand,2003,0.0002269472475896011
49019,Grand,2004,2.6689245519313218e-05
49019,Grand,2005,0.0005145577610857208
49019,Grand,2006,0.002696042203300043
49019,Grand,2007,0.00031514445568092507
49019,Grand,2008,0.001587867209980613
49019,Grand,2009,0.0003212462892853344
49019,Grand,2010,1.823572647692753e-05
49019,Grand,2011,0.00023286377720135369
49019,Grand,2012,3.076673066445042e-05
49019,Grand,2016,6.237636985580972e-06
49019,Grand,2018,0.004321340541549543
49019,Grand,2019,1.3226949370687882e-06
49021,Iron,2001,0.00020140394774597755
49021,Iron,2002,0.0029583668798264717
49021,Iron,2004,6.654686312151437e-05
49021,Iron,2005,0.0022507681518760376
